step_size,goal_rate,clearance,max_iters,rrt_nodes,rrt_length_m,hybrid_nodes,hybrid_length_m
2.5,0.15,0.6,30000,10,22.23,7,19.22
2.5,0.15,0.6,50000,10,20.99,7,19.22
2.5,0.15,0.8,30000,10,21.40,7,19.22
2.5,0.15,0.8,50000,10,22.02,7,19.22
2.5,0.15,1.0,30000,10,22.07,7,19.22
2.5,0.15,1.0,50000,11,23.60,7,19.22
2.5,0.25,0.6,30000,9,18.99,7,19.22
2.5,0.25,0.6,50000,12,25.37,7,19.22
2.5,0.25,0.8,30000,12,26.59,7,19.22
2.5,0.25,0.8,50000,11,22.85,7,19.22
2.5,0.25,1.0,30000,10,20.24,7,19.22
2.5,0.25,1.0,50000,10,21.18,7,19.22
2.5,0.35,0.6,30000,9,18.51,7,19.22
2.5,0.35,0.6,50000,10,21.31,7,19.22
2.5,0.35,0.8,30000,9,19.62,7,19.22
2.5,0.35,0.8,50000,9,18.34,7,19.22
2.5,0.35,1.0,30000,9,19.66,7,19.22
2.5,0.35,1.0,50000,9,18.13,7,19.22
3.0,0.15,0.6,30000,9,22.60,7,19.22
3.0,0.15,0.6,50000,9,23.75,7,19.22
3.0,0.15,0.8,30000,8,20.70,7,19.22
3.0,0.15,0.8,50000,9,23.14,7,19.22
3.0,0.15,1.0,30000,9,21.05,7,19.22
3.0,0.15,1.0,50000,8,20.69,7,19.22
3.0,0.25,0.6,30000,9,21.40,7,19.22
3.0,0.25,0.6,50000,7,18.00,7,19.22
3.0,0.25,0.8,30000,8,20.08,7,19.22
3.0,0.25,0.8,50000,8,19.05,7,19.22
3.0,0.25,1.0,30000,7,17.99,7,19.22
3.0,0.25,1.0,50000,8,20.60,7,19.22
3.0,0.35,0.6,30000,8,21.00,7,19.22
3.0,0.35,0.6,50000,10,25.16,7,19.22
3.0,0.35,0.8,30000,8,20.69,7,19.22
3.0,0.35,0.8,50000,8,19.12,7,19.22
3.0,0.35,1.0,30000,8,19.25,7,19.22
3.0,0.35,1.0,50000,7,17.99,7,19.22
3.5,0.15,0.6,30000,7,18.13,7,19.22
3.5,0.15,0.6,50000,8,21.35,7,19.22
3.5,0.15,0.8,30000,7,20.50,7,19.22
3.5,0.15,0.8,50000,8,22.78,7,19.22
3.5,0.15,1.0,30000,9,24.67,7,19.22
3.5,0.15,1.0,50000,11,33.54,7,19.22
3.5,0.25,0.6,30000,8,24.25,7,19.22
3.5,0.25,0.6,50000,7,17.99,7,19.22
3.5,0.25,0.8,30000,7,20.03,7,19.22
3.5,0.25,0.8,50000,7,20.71,7,19.22
3.5,0.25,1.0,30000,7,20.09,7,19.22
3.5,0.25,1.0,50000,8,21.81,7,19.22
3.5,0.35,0.6,30000,7,17.99,7,19.22
3.5,0.35,0.6,50000,7,19.89,7,19.22
3.5,0.35,0.8,30000,8,22.82,7,19.22
3.5,0.35,0.8,50000,8,22.33,7,19.22
3.5,0.35,1.0,30000,9,26.41,7,19.22
3.5,0.35,1.0,50000,7,19.35,7,19.22
